CommUnits
Property_Code,Bldg_Code,Floor_Code,Unit_Code,Rental_Type,Country,Ext_Ref_Unit_Id,Ref_Property_Id,Ref_Building_Id,Ref_Floor_Id,Available_Date,Date_Ready,Address_1,Address_2,Address_3,Address_4,City,State,Zip_Code,Rent,SQFT,Rent_Ready,Exclude,Unit_Type,Location,BedRooms,Attributes_1,Attributes_2,Attributes_3,Attributes_4,Attributes_5,Attributes_6,Attributes_7,Attributes_8,Attributes_9,Attributes_10,MLA,Lease_Type,Userdefined_1,Userdefined_2,Userdefined_3,Userdefined_4,Userdefined_5,Userdefined_6,Userdefined_7,Userdefined_8,Userdefined_9,Userdefined_10,Notes
"cove",,,"029-SEAD","Residential","us",,,,,,03/13/2015,"29 Seadrift Landing",,,,"Tiburon","CA","94920",4230.00,1140.000000,1,0,"1x1.5lof",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"030-BARB","Residential","us",,,,,,05/15/2015,"30 Barbaree Way",,,,"Tiburon","CA","94920",3595.00,700.000000,1,0,"1x1-e",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"030-GNWD","Residential","us",,,,,,11/04/2015,"30 Greenwood Cove Drive",,,,"Tiburon","CA","94920",4330.00,1275.000000,1,0,"2x2.5th",,2,,,"Yes",,,,,,,,,,0.00,,0.00,,,,,,,,
"cove",,,"058-BARB","Residential","us",,,,,09/09/2016,09/09/2016,"58 Barbaree Way",,,,"Tiburon","CA","94920",4845.00,1020.000000,0,0,"2x2-b",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"059-BARB","Residential","us",,,,,,08/03/2015,"59 Barbaree Way",,,,"Tiburon","CA","94920",6195.00,1375.000000,1,0,"3x3-b",,3,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"060-BARB","Residential","us",,,,,,08/11/2014,"60 Barbaree Way",,,,"Tiburon","CA","94920",6145.00,1375.000000,1,0,"3x3-b",,3,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"061-BARB","Residential","us",,,,,,08/03/2015,"61 Barbaree Way",,,,"Tiburon","CA","94920",6195.00,1375.000000,1,0,"3x3-b",,3,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"062-BARB","Residential","us",,,,,,08/03/2015,"62 Barbaree Way",,,,"Tiburon","CA","94920",6245.00,1375.000000,1,0,"3x3-b",,3,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"063-BARB","Residential","us",,,,,,02/26/2016,"63 Barbaree Way",,,,"Tiburon","CA","94920",6195.00,1375.000000,1,0,"3x3-b",,3,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"064-BARB","Residential","us",,,,,,02/26/2016,"64 Barbaree Way",,,,"Tiburon","CA","94920",4455.00,1140.000000,1,0,"1x1.5lof",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"065-BARB","Residential","us",,,,,,02/26/2016,"65 Barbaree Way",,,,"Tiburon","CA","94920",4455.00,1140.000000,1,0,"1x1.5lof",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"066-BARB","Residential","us",,,,,,02/26/2016,"66 Barbaree Way",,,,"Tiburon","CA","94920",4480.00,1140.000000,1,0,"1x1.5lof",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"067-BARB","Residential","us",,,,,,03/21/2016,"67 Barbaree Way",,,,"Tiburon","CA","94920",4480.00,1140.000000,1,0,"1x1.5lof",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"068-BARB","Residential","us",,,,,,09/25/2014,"68 Barbaree Way",,,,"Tiburon","CA","94920",6195.00,1375.000000,1,0,"3x3-b",,3,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"069-BARB","Residential","us",,,,,,02/26/2016,"69 Barbaree Way",,,,"Tiburon","CA","94920",6195.00,1375.000000,1,0,"3x3-b",,3,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"070-BARB","Residential","us",,,,,,07/31/2016,"70 Barbaree Way",,,,"Tiburon","CA","94920",6195.00,1375.000000,1,0,"3x3-b",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"071-BARB","Residential","us",,,,,,04/08/2015,"71 Barbaree Way",,,,"Tiburon","CA","94920",4945.00,1020.000000,1,0,"2x2-b",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"072-BARB","Residential","us",,,,,,02/20/2016,"72 Barbaree Way",,,,"Tiburon","CA","94920",4950.00,1020.000000,1,0,"2x2-c",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"073-BARB","Residential","us",,,,,,02/06/2015,"73 Barbaree Way",,,,"Tiburon","CA","94920",4950.00,1020.000000,1,0,"2x2-c",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"074-BARB","Residential","us",,,,,,02/20/2016,"74 Barbaree Way",,,,"Tiburon","CA","94920",4945.00,1020.000000,1,0,"2x2-b",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"075-BARB","Residential","us",,,,,,02/20/2016,"75 Barbaree Way",,,,"Tiburon","CA","94920",4945.00,1020.000000,1,0,"2x2-b",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"076-BARB","Residential","us",,,,,,02/20/2016,"76 Barbaree Way",,,,"Tiburon","CA","94920",5000.00,1020.000000,1,0,"2x2-c",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"077-BARB","Residential","us",,,,,,03/21/2015,"77 Barbaree Way",,,,"Tiburon","CA","94920",5000.00,1020.000000,1,0,"2x2-c",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"078-BARB","Residential","us",,,,,,02/20/2016,"78 Barbaree Way",,,,"Tiburon","CA","94920",4945.00,1020.000000,1,0,"2x2-b",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"079-BARB","Residential","us",,,,,,02/20/2016,"79 Barbaree Way",,,,"Tiburon","CA","94920",4945.00,1020.000000,1,0,"2x2-b",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"080-BARB","Residential","us",,,,,,02/20/2016,"80 Barbaree Way",,,,"Tiburon","CA","94920",4950.00,1020.000000,1,0,"2x2-c",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"081-BARB","Residential","us",,,,,,02/20/2016,"81 Barbaree Way",,,,"Tiburon","CA","94920",4950.00,1020.000000,1,0,"2x2-c",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"082-BARB","Residential","us",,,,,,05/05/2015,"82 Barbaree Way",,,,"Tiburon","CA","94920",4945.00,1020.000000,1,0,"2x2-b",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"083-BARB","Residential","us",,,,,,02/20/2016,"83 Barbaree Way",,,,"Tiburon","CA","94920",4945.00,1020.000000,1,0,"2x2-b",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"084-BARB","Residential","us",,,,,,02/20/2016,"84 Barbaree Way",,,,"Tiburon","CA","94920",5000.00,1020.000000,1,0,"2x2-c",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"085-BARB","Residential","us",,,,,,02/20/2016,"85 Barbaree Way",,,,"Tiburon","CA","94920",5000.00,1020.000000,1,0,"2x2-c",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"086-BARB","Residential","us",,,,,,02/20/2016,"86 Barbaree Way",,,,"Tiburon","CA","94920",4945.00,1020.000000,1,0,"2x2-b",,1,,,"Yes",,,,,,,,,,,,,,,,,,,,
"cove",,,"087-BARB","Residential","us",,,,,,06/17/2016,"87 Barbaree Way",,,,"Tiburon","CA","94920",5105.00,1310.000000,1,0,"2x2-f",,2,,,"Yes",,,,,,,,,,,,,,,,,,,,
